user_id,user_location,tweet_created_at,tweet_id,
1291656504,Cagliari ,2021-01-08 19:33:57,1347627621987864581,
3030533474,Mercato San Severino Campania,2021-01-08 19:33:57,1347627623346810880,
596665906,Milano,2021-01-08 19:33:57,1347627624181489667,
2944929857,Senigallia Marche,2021-01-08 19:34:12,1347627684168409089,
559783214,Italia Ferrara,2021-01-08 19:34:18,1347627710433140738,
434493337,Battipaglia,2021-01-08 19:34:19,1347627713146859523,
990682830,London New York San Gines,2021-01-08 19:34:19,1347627714459684867,
41136780,Rome,2021-01-08 19:34:19,1347627715621511169,
3030533474,Mercato San Severino Campania,2021-01-08 19:34:20,1347627719685791744,
552806581,Roma Lazio,2021-01-08 19:34:21,1347627721552232450,
636391406,Torino Piemonte,2021-01-08 19:34:23,1347627730666450944,
358403333,Milan Italy,2021-01-08 19:34:23,1347627731077517314,
1252174902708375553,Piemonte,2021-01-08 19:34:27,1347627747619823616,
17273303,Rome - Italy,2021-01-08 19:34:27,1347627748173484033,
1168795798198464514,Rossano Calabria,2021-01-08 19:34:30,1347627761955983362,
4505221409,Corvara in Badia,2021-01-08 19:34:33,1347627772919865349,
1291656504,Cagliari ,2021-01-08 19:34:37,1347627787943895044,
1356486175,Milano,2021-01-08 19:34:45,1347627825034108929,
193228870,Italia Napoli,2021-01-08 19:34:50,1347627845116456962,
1250083188820631552,Taranto Puglia,2021-01-08 19:34:51,1347627849948291073,
1256290005451972610,Milano Lombardia,2021-01-08 19:34:56,1347627869946654721,
17273303,Rome - Italy,2021-01-08 19:35:07,1347627917317189632,
1268924890188517378,Dietro di te....,2021-01-08 19:35:08,1347627919418515458,
191600621,Napoli Campania,2021-01-08 19:35:14,1347627944253005825,
148666869,Perugia Umbria,2021-01-08 19:35:22,1347627980508585989,
1211698748008452096,Ozzano dell'Emilia Emilia Rom,2021-01-08 19:35:24,1347627986372194304,
1168795798198464514,Rossano Calabria,2021-01-08 19:35:29,1347628006307672070,
566586896, Spoleto ,2021-01-08 19:35:31,1347628016189501442,
17273303,Rome - Italy,2021-01-08 19:35:33,1347628026289385472,
418778062,Milano,2021-01-08 19:35:33,1347628026251649024,
2167899593,Trieste Melfi(PZ),2021-01-08 19:35:39,1347628049802661890,
3197688345,Reggio Emilia Emilia Romagna,2021-01-08 19:35:45,1347628074452529155,
17273303,Rome - Italy,2021-01-08 19:35:51,1347628102214627331,
191600621,Napoli Campania,2021-01-08 19:35:53,1347628108376059905,
1168795798198464514,Rossano Calabria,2021-01-08 19:35:54,1347628112448786433,
1252174902708375553,Piemonte,2021-01-08 19:35:56,1347628123303641091,
1107004287845044224,Avellino Campania,2021-01-08 19:35:57,1347628127208443905,
