user_id,user_location,tweet_created_at,tweet_id,;;
163932767,Salgareda Veneto,2021-01-07 16:27:44,1347218371725692929,;;
398113743,Reggio Emilia,2021-01-07 16:27:54,1347218413026947074,;;
506189709,Napoli & Ischia,2021-01-07 16:27:54,1347218413396111361,;;
105616077,Pesaro Italy,2021-01-07 16:28:08,1347218471382380545,;;
1269485407277912067,Villastellone Piemonte,2021-01-07 16:28:13,1347218491166875648,;;
837338667425411072,Roma Lazio,2021-01-07 16:28:15,1347218500398571521,;;
910498398612094976,Mantova Lombardia,2021-01-07 16:28:17,1347218508816539648,;;
2782312311,Napoli Campania,2021-01-07 16:28:23,1347218536775774209,;;
236939562,Roma Italia,2021-01-07 16:28:26,1347218548482052096,;;
1058824483069456384,Ortisei Trentino-Alto Adige,2021-01-07 16:28:40,1347218605667196930,;;
3720674655,Roma Italia ,2021-01-07 16:28:44,1347218623400701955,;;
68398994,La Spezia,2021-01-07 16:28:55,1347218670368526339,;;
743340806501629952,Bernezzo Piemonte,2021-01-07 16:28:59,1347218685744787459,;;
1143299528,Cremona Lombardia,2021-01-07 16:29:01,1347218695647592450,;;
1213401762897416192,Roma Lazio,2021-01-07 16:29:05,1347218709803397131,;;
134467923,Ferrara Italy,2021-01-07 16:29:20,1347218775343587328,;;
1918247922,nel fluire disperante,2021-01-07 16:29:26,1347218799242706947,;;
910498398612094976,Mantova Lombardia,2021-01-07 16:29:29,1347218811653664769,;;
386574852,spignio saturnia,2021-01-07 16:29:29,1347218812391841793,;;
123534531,Siena,2021-01-07 16:29:33,1347218828376371202,;;
3720674655,Roma Italia ,2021-01-07 16:29:41,1347218860827680768,;;
84875263,Piazza di San Marco 51 - Roma,2021-01-07 16:29:41,1347218861117091840,;;
47088122,Bassano del Grappa Veneto,2021-01-07 16:29:47,1347218887645925378,;;
1114631966752747525,veneto ,2021-01-07 16:29:52,1347218909934530570,;;
350642352,Ancona Marche,2021-01-07 16:30:04,1347218960178176001,;;
1243133156519227393,Lodi Lombardia,2021-01-07 16:30:09,1347218977571958787,;;
174171726,Roma Lazio,2021-01-07 16:30:11,1347218986375786499,;;
743340806501629952,Bernezzo Piemonte,2021-01-07 16:30:28,1347219058018701313,;;
1279788537932648448,Itália,2021-01-07 16:30:31,1347219073113927684,;;
520734440,Massimo Rimbotti,2021-01-07 16:30:32,1347219076234534912,;;
898841041134112769,Casamassima Puglia,2021-01-07 16:30:49,1347219146312921089,;;
186750089,Palermo/Roma,2021-01-07 16:30:53,1347219165170438146,;;
240719102,VigevanoItalia. Grosseto-born,2021-01-07 16:30:54,1347219168358240257,;;
2260566889,Sardegna.Italia.,2021-01-07 16:30:57,1347219180299431936,;;
912973966398164993,Monza Lombardia,2021-01-07 16:31:01,1347219197856768007,;;
23781410,Roma,2021-01-07 16:31:01,1347219198016106497,;;
1188843954432811010,Trapani Sicilia ,2021-01-07 16:31:01,1347219198381088770,;;
73452714,Caserta Italia,2021-01-07 16:31:04,1347219211412762628,;;
16457957,La Felicissima,2021-01-07 16:31:17,1347219266374918146,;;
19315016,firenze,2021-01-07 16:31:20,1347219275724025866,;;
414686697,Parma,2021-01-07 16:31:24,1347219292799041540,;;
362055145,Giavera del Montello Veneto,2021-01-07 16:31:43,1347219372734115843,;;
581172083,Genova,2021-01-07 16:31:52,1347219412470935554,;;
96721344,Roma Lazio,2021-01-07 16:31:52,1347219413251055616,;;
18638837,Perugia Umbria,2021-01-07 16:32:03,1347219456720826372,;;
542497206,Napoli Campania,2021-01-07 16:32:03,1347219457068789763,;;
28383964,Roma with the body,2021-01-07 16:32:06,1347219470650118145,;;
910498398612094976,Mantova Lombardia,2021-01-07 16:32:22,1347219538123902976,;;
86522812,Cremona Italy,2021-01-07 16:32:27,1347219558713745410,;;
70909372,Napoli Campania,2021-01-07 16:32:30,1347219571976130561,;;
780314383,Lombardia Italia,2021-01-07 16:32:32,1347219578615717896,;;
1038099159033802752,Piemonte Italia,2021-01-07 16:32:36,1347219596789637129,;;
134467923,Ferrara Italy,2021-01-07 16:32:42,1347219622358089728,;;
135803339,milan,2021-01-07 16:32:51,1347219658861064195,;;
17844234,Milano,2021-01-07 16:32:51,1347219661046296577,;;
1333804912396951552,Saint-Raphaël France,2021-01-07 16:32:53,1347219667425890304,;;
1055108109394427905,Como Lombardia,2021-01-07 16:33:03,1347219708085493761,;;
362055145,Giavera del Montello Veneto,2021-01-07 16:33:12,1347219748648611840,;;
714889234935578624,Genova/Colobraro(Matera) 💞,2021-01-07 16:33:19,1347219776066756609,;;
70909372,Napoli Campania,2021-01-07 16:33:21,1347219784249843712,;;
291363076,Roma Lazio,2021-01-07 16:33:22,1347219790985895937,;;
714889234935578624,Genova/Colobraro(Matera) 💞,2021-01-07 16:33:27,1347219808601956352,;;
973190141228527617,Molise Italia,2021-01-07 16:33:30,1347219821688197123,;;
1199651083062300674,Reggio nell'Emilia Emilia Rom,2021-01-07 16:33:33,1347219834849927170,;;
1943245836,Milano Lombardia,2021-01-07 16:33:35,1347219843708289025,;;
1674221718,milano ladyd66 su Google  ,2021-01-07 16:33:55,1347219927544037382,;;
1014683070,Roma Lazio,2021-01-07 16:33:58,1347219941355888641,;;
2450265194,Friuli-Venezia Giulia Italia,2021-01-07 16:34:06,1347219972507000832,;;
1366810741,Lombardia Italia,2021-01-07 16:34:07,1347219979213668354,;;
1455203216,punta ala,2021-01-07 16:34:12,1347220000030023686,;;
4009900163,Roma Lazio,2021-01-07 16:34:12,1347220000621391878,;;
428570381, Maremma Toscana no porno/DM,2021-01-07 16:34:20,1347220030317092870,;;
910498398612094976,Mantova Lombardia,2021-01-07 16:34:29,1347220071681298433,;;
1188843954432811010,Trapani Sicilia ,2021-01-07 16:34:39,1347220113255264256,;;
714889234935578624,Genova/Colobraro(Matera) 💞,2021-01-07 16:34:47,1347220144448303104,;;
284158226,Palermo Sicilia,2021-01-07 16:34:56,1347220182326980615,;;
484251094,Italy Merate,2021-01-07 16:34:57,1347220188723339264,;;
366449625,provincia de Zena,2021-01-07 16:35:05,1347220219543113731,;;
850435107823517696,Adro Lombardia,2021-01-07 16:35:11,1347220248253104129,;;
1142157170,ravello...rebellum,2021-01-07 16:35:16,1347220267127500801,;;
1025746433201373185,Calabria Italia,2021-01-07 16:35:21,1347220289147580418,;;
457375249,milano,2021-01-07 16:35:25,1347220305979301891,;;
177177898,Allianz Stadium,2021-01-07 16:35:25,1347220306373578752,;;
2922945611,Pordenone Friuli Italy,2021-01-07 16:35:28,1347220317018714114,;;
486138911,Balcone di Babilonia,2021-01-07 16:35:32,1347220335599431680,;;
484251094,Italy Merate,2021-01-07 16:35:33,1347220336702578688,;;
1048664892,Oristano Sardegna,2021-01-07 16:35:40,1347220367119671296,;;
18938993,Cosenza Calabria,2021-01-07 16:35:45,1347220387495600128,;;
714889234935578624,Genova/Colobraro(Matera) 💞,2021-01-07 16:35:46,1347220393011122177,;;
244886806,Venice - Torino,2021-01-07 16:35:46,1347220393325690881,;;
1918247922,nel fluire disperante,2021-01-07 16:35:48,1347220402477654018,;;
1134090080681963520,politiche sociali,2021-01-07 16:36:08,1347220485474451458,;;
25838107,Alessandria Italy ,2021-01-07 16:36:17,1347220524913590279,;;
776138045682806784,Cingoli Marche,2021-01-07 16:36:23,1347220546182918144,;;
4009900163,Roma Lazio,2021-01-07 16:36:29,1347220572837715970,;;
1435829143,roma,2021-01-07 16:36:40,1347220617674846210,;;
1026158455,Roma Lazio,2021-01-07 16:36:45,1347220640659615746,;;
1016267998766694400,Venice ,2021-01-07 16:36:52,1347220671420649472,;;
50679468,Rome Italy,2021-01-07 16:37:05,1347220723820089345,;;
4142745711,Bologna Emilia Romagna,2021-01-07 16:37:19,1347220784033488897,;;
